Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src
organic-turmeric-powder,Organic Turmeric Powder (Haldi),"<p>Bring the golden touch of ancient Ayurveda to your kitchen with Dalify's Organic Turmeric Powder. Sourced from certified organic farms in Erode — India's turmeric capital — our haldi is sun-dried and stone-ground to preserve its natural curcumin content and vivid golden hue.</p><p>Unlike commercial turmeric blended with starches and artificial colorants, every batch from Dalify is 100% pure root, nothing else. Use it in your daily dal tadka, golden milk latte, or a simple haldi-doodh before bed.</p><p><strong>Suggested use:</strong> Curries, soups, golden milk, marinades, rice dishes.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,turmeric,haldi,spices,ayurveda,anti-inflammatory",TRUE,Weight,100g,DAL-TUR-100,100,50,89,
organic-turmeric-powder,,,,,,,,Weight,250g,DAL-TUR-250,250,50,199,
organic-turmeric-powder,,,,,,,,Weight,500g,DAL-TUR-500,500,30,349,
organic-cumin-seeds,Organic Cumin Seeds (Jeera),"<p>The aroma of cumin hitting hot oil is the smell of Indian home cooking at its finest. Dalify's Organic Cumin Seeds are hand-picked from small farms in Rajasthan, where the dry climate produces seeds with a deeper, more complex flavor profile than mass-market varieties.</p><p>Each seed is cleaned and packed without any fumigants or chemical treatments. Rich in iron and known to support digestion, jeera is one of the most versatile spices in your pantry.</p><p><strong>Suggested use:</strong> Tadka, dal, biryani, raita, chaat, chaas.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,cumin,jeera,whole spices,tadka,digestion",TRUE,Weight,100g,DAL-CUM-100,100,50,79,
organic-cumin-seeds,,,,,,,,Weight,250g,DAL-CUM-250,250,40,179,
organic-cumin-seeds,,,,,,,,Weight,500g,DAL-CUM-500,500,30,299,
organic-cumin-powder,Organic Cumin Powder (Jeera Powder),"<p>Pre-ground from premium Rajasthani organic cumin seeds, our Cumin Powder delivers instant depth to any dish. Stone-ground fresh in small batches to lock in the volatile oils responsible for that signature earthy warmth.</p><p>Absolutely no fillers, no anti-caking agents — just pure roasted cumin aroma in every spoonful.</p><p><strong>Suggested use:</strong> Curries, sabzis, raita, chutneys, marinades, spice blends.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,cumin,jeera powder,ground spices",TRUE,Weight,100g,DAL-CUP-100,100,50,89,
organic-cumin-powder,,,,,,,,Weight,200g,DAL-CUP-200,200,40,159,
organic-coriander-powder,Organic Coriander Powder (Dhaniya Powder),"<p>Ground from whole, sun-dried organic coriander seeds, Dalify's Dhaniya Powder carries a warm citrusy note that rounds out virtually every Indian curry. Our coriander is sourced from farms in Madhya Pradesh, where the soil and climate yield seeds with a naturally higher essential oil content.</p><p>Ground in small batches and sealed in airtight pouches to preserve freshness.</p><p><strong>Suggested use:</strong> Curries, chutneys, marinades, masala blends, gravies.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,coriander,dhaniya,ground spices",TRUE,Weight,100g,DAL-COR-100,100,50,89,
organic-coriander-powder,,,,,,,,Weight,250g,DAL-COR-250,250,40,189,
organic-coriander-powder,,,,,,,,Weight,500g,DAL-COR-500,500,30,339,
